,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
10917,holtreens,N,9,"['ho', 'l', 'tre', 'en', 's']",4,0.44
10918,homay,N,5,"['ho', 'ma', 'y']",2,0.4
10919,homber,N,6,"['ho', 'm', 'be', 'r']",3,0.33
10920,hombers,N,7,"['ho', 'm', 'be', 'r', 's']",4,0.29
10921,hombled,N,7,"['ho', 'm', 'b', 'le', 'd']",4,0.29
10922,hombs,N,5,"['ho', 'm', 'b', 's']",3,0.2
10923,hombuel,N,7,"['ho', 'm', 'bu', 'el']",3,0.43
10924,hombunged,N,9,"['ho', 'm', 'b', 'un', 'ge', 'd']",5,0.33
10925,homebike,N,8,"['ho', 'me', 'bi', 'k', 'e']",4,0.38
10926,homeer,N,6,"['ho', 'me', 'er']",2,0.5
10927,homegreed,N,9,"['ho', 'me', 'g', 're', 'e', 'd']",5,0.33
10928,homepink,N,8,"['ho', 'me', 'p', 'in', 'k']",4,0.38
10929,homepique,N,9,"['ho', 'me', 'p', 'i', 'que']",4,0.44
10930,homnah,N,6,"['ho', 'm', 'n', 'a', 'h']",4,0.17
10931,homnyon,N,7,"['ho', 'm', 'n', 'y', 'on']",4,0.29
10932,homp,N,4,"['ho', 'm', 'p']",2,0.25
10933,homply,N,6,"['ho', 'm', 'p', 'ly']",3,0.33
10934,homsler,N,7,"['ho', 'm', 's', 'l', 'er']",4,0.29
10935,homslers,N,8,"['ho', 'm', 's', 'l', 'er', 's']",5,0.25
10936,homsy,N,5,"['ho', 'm', 's', 'y']",3,0.2
